longitude,latitude,incident_id,date,time,description,type
35.9839656257,-78.902117026,18000471,2018-01-04,02:52,WEAPON VIOLATIONS - POSSESSING/CONCEALING,FOOT PURSUIT
35.9079931041,-78.8944908117,18000486,2018-01-04,09:48,ALL TRAFFIC (EXCEPT DWI),VEHICLE STOP
36.0000868624,-78.8852892583,18000490,2018-01-04,09:55,NON-CRIMINAL DETAINMENT (INVOLUNTARY COMMITMENT),DOMESTIC VIOLEN
35.9217356651,-78.9507463824,18000497,2017-12-17,08:05,VANDALISM TO PROP (NOT ACCIDENTAL),DAMAGE TO PROPE
36.0594601357,-78.929919939,18000513,2018-01-04,13:55,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8978965993,-78.8998887596,18000529,2018-01-04,08:00,FRAUD - OTHER,LARCENY
36.0454514451,-78.9008679738,18000528,2018-01-02,10:40,LARCENY - FROM MOTOR VEHICLE,LARCENY
36.0545997758,-78.8909667198,18000537,2018-01-04,02:00,CALLS FOR SERVICE (NO CRIME),DAMAGE TO PROPE
35.9867856292,-78.8889562581,18000550,2018-01-04,17:00,LOST PROPERTY,LOST OR FOUND P
35.9747529324,-78.890130711,18000552,2018-01-02,18:00,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),OFFICER STAND B
36.0294780659,-78.8452306252,18000555,2018-01-04,19:40,LARCENY - SHOPLIFTING,SHOPLIFTER
35.9816067468,-78.8924870922,18000560,2018-01-04,19:19,RUNAWAY,MISSING PERSON
35.9422226182,-78.8914798883,18000558,2018-01-04,20:45,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0490221679,-78.902813237,18000570,2018-01-04,20:30,LARCENY - FROM BUILDING,LARCENY
35.971547529,-78.9389550265,18000572,2018-01-05,00:56,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9706919886,-78.9010248086,18000580,2018-01-05,03:13,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0139167867,-78.94580793,18000582,2018-01-05,03:54,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9716706886,-78.940045096,18000583,2018-01-05,04:04,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8840570417,-78.8855066913,18000584,2018-01-05,04:59,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9922068571,-78.9201764797,18000612,2018-01-05,14:02,DRUG/NARCOTIC VIOLATIONS - POSSESS/SELL COCAINE,ATTEMPT TO LOCA
35.967519807,-78.9593214454,18000610,2018-01-05,14:00,LARCENY - SHOPLIFTING,SHOPLIFTER
35.9869936267,-78.8987174379,18000617,2018-01-03,16:00,FRAUD - UNAUTHORIZED USE OF CONVEYANCE,LARCENY
36.0114960262,-78.9195405252,18000619,2018-01-05,15:30,LARCENY - SHOPLIFTING,LARCENY
35.9098847243,-78.9815083666,18000621,2018-01-05,13:30,MOTOR VEHICLE THEFT - TRUCK,LARCENY OF VEHI
35.8841437352,-78.8393395227,18000631,2018-01-05,17:43,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9305919519,-78.9506011188,18000647,2018-01-05,21:30,BURGLARY - FORCIBLE ENTRY,BREAK IN IN PRO
35.9679141647,-78.9008220212,18000680,2018-01-06,10:20,LARCENY - FROM BUILDING,LARCENY
36.0133513441,-78.9459848824,18000655,2018-01-06,00:34,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9968582507,-78.870963715,18000664,2018-01-06,01:03,CALLS FOR SERVICE (NO CRIME),MISSING PERSON
36.0393451,-78.8898743215,18000659,2018-01-06,01:11,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0047244839,-78.9519071884,18000660,2018-01-06,01:21,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0547488526,-78.8894402156,18000669,2018-01-06,02:39,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9455076041,-78.987243771,18000688,2018-01-05,20:00,LARCENY - FROM BUILDING,LARCENY
35.9445704746,-78.8631996893,18000702,2018-01-04,14:00,FRAUD - FALSE PRETENSE,FRAUD
36.0348429203,-78.9378109061,18000709,2018-01-03,11:00,LOST PROPERTY,LOST OR FOUND P
35.9897216257,-78.9201756842,18000718,2018-01-06,18:00,MOTOR VEHICLE THEFT - AUTOMOBILE,LARCENY OF VEHI
35.9204710034,-78.8192147903,18000728,2018-01-06,22:31,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0280090062,-78.8716657629,18000732,2017-12-24,12:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
36.0273703746,-78.9533394083,18000891,2018-01-07,00:15,FRAUD - CREDIT CARD/ATM,FRAUD - CREDIT
36.0867676361,-78.9103574199,18000772,2018-01-07,12:15,LARCENY - ALL OTHER,DOMESTIC VIOLEN
36.0273904708,-78.9139367219,18000773,2018-01-07,09:30,BURGLARY - FORCIBLE ENTRY,DAMAGE TO PROPE
36.0274306369,-78.8441689425,18000790,2018-01-07,15:00,MOTOR VEHICLE THEFT - AUTOMOBILE,LARCENY OF VEHI
36.1168401371,-78.9027823955,18000803,2018-01-07,16:13,DRIVING WHILE IMPAIRED,VEHICLE STOP
36.0260663952,-78.9351976775,18000806,2018-01-07,08:30,LARCENY - AUTOMOBILE PARTS OR ACCESSORIES,LARCENY
35.9627157111,-78.9427516864,18000811,2018-01-07,12:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9523690671,-78.9128846983,18000807,2018-01-07,07:35,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9778078721,-78.8747635193,18000835,2018-01-07,23:03,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
35.9693104747,-78.8983509727,18000848,2018-01-08,03:44,SIMPLE ASSAULT-ALL OTHER,DOMESTIC VIOLEN
35.9466730564,-78.9872213819,18000851,2018-01-08,04:18,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9379050078,-78.897407991,18000854,2018-01-08,05:20,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0039457562,-78.8890451545,18000857,2018-01-07,22:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
36.0003828494,-78.8924372009,18000903,2018-01-08,11:50,DRUG/NARCOTIC VIOLATIONS - ALL OTHER,SUSPICIOUS PERS
36.0402691855,-78.8845427701,18000909,2017-06-30,12:00,CALLS FOR SERVICE (NO CRIME),ASSIST PERSON
36.0608025433,-78.8896558499,18000911,2005-12-31,00:01,RAPE - FORCIBLE,RAPE NO EMS
35.9876248102,-78.8476076373,18000912,2018-01-08,13:35,VANDALISM TO PROP (NOT ACCIDENTAL),DAMAGE TO PROPE
36.0359189125,-78.8679587098,18000947,2018-01-08,14:06,LARCENY - AUTOMOBILE PARTS OR ACCESSORIES,LARCENY
35.993862424,-78.886545021,18000944,2018-01-08,18:00,AGGRAVATED ASSAULT,STABBING
36.007954555,-78.9387423808,18000951,2018-01-08,17:00,LOST PROPERTY,LOST OR FOUND P
33.56914853,-85.5673832521,18000959,2018-01-02,00:00,DV INFO REPORT (NO CRIME),ASSAULT
36.0057320337,-78.9002295685,18000978,2018-01-09,00:30,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9828296729,-78.8492661886,18000989,2018-01-09,02:29,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC WITH A
35.9880306846,-78.9209523517,18000988,2018-01-09,02:45,ALL OTHER OFFENSES-COURT VIOLATIONS,DOMESTIC VIOLEN
35.9574470597,-78.9782633116,18000991,2018-01-09,03:50,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9083348309,-78.9233485862,18000993,2018-01-09,04:24,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9749159539,-78.9566778906,18001000,2018-01-09,07:34,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9488442492,-78.9923632779,18001043,2018-01-09,13:30,FRAUD - FALSE PRETENSE,FRAUD
35.9747824085,-78.8907079794,18001040,2018-01-09,14:17,VANDALISM TO AUTO (NOT ACCIDENTAL),VANDALISM
35.8837226848,-78.8880121172,18001055,2018-01-09,09:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9827967538,-78.9018513993,18001070,2018-01-09,16:39,ALL OTHER CRIMINAL OFFENSES,WANTED PERSON
36.043698418,-78.8938317728,18001073,2018-01-09,17:17,FRAUD - IMPERSONATION,FRAUD
36.0191278212,-78.848562156,18001087,2018-01-09,18:00,VANDALISM TO AUTO (NOT ACCIDENTAL),BREAK IN VEHICL
35.9048948687,-78.8931879267,18001097,2018-01-09,22:08,ALL TRAFFIC (EXCEPT DWI),MOTOR VEHICLE A
35.9981495403,-78.8900303086,18001099,2018-01-09,22:51,FOUND PROPERTY,NOISE COMPLAINT
35.8815058036,-78.8294631149,18001098,2018-01-09,23:26,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9271853369,-78.8153000489,18001206,2018-01-10,18:15,DRUG/NARCOTIC VIOLATIONS - POSSESS/SELL HEROIN,DRUGS
36.0462372815,-78.932857996,18001103,2018-01-10,00:15,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0313607558,-78.9349698609,18001107,2018-01-10,00:48,FRAUD - FALSE PRETENSE,FRAUD
36.036309309,-78.88870622,18001108,2018-01-10,01:10,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9435817003,-78.919494509,18001110,2018-01-10,01:22,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0395136043,-78.8902795925,18001111,2018-01-10,01:40,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0399722754,-78.8902160184,18001121,2018-01-10,03:55,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9574624707,-78.8683332422,18001125,2018-01-10,03:08,DEATH INVESTIGATION,
36.0535650684,-78.9190845605,18001123,2018-01-10,04:25,TOWED/ABANDONED VEHICLE,PRIVATE TOW
