incident_id,district_id
18000471,35
18000486,12
18000490,29
18000497,22
18000513,0
18000529,32
18000528,10
18000537,0
18000550,30
18000552,36
18000560,35
18000558,38
18000570,10
18000572,33
18000580,25
18000582,6
18000583,33
18000612,11
18000610,19
18000617,35
18000619,9
18000621,14
18000631,18
18000647,22
18000680,25
18000655,6
18000664,37
18000659,10
18000660,6
18000669,0
18000688,34
18000702,38
18000709,17
18000718,13
18000728,18
18000732,10
18000891,17
18000772,0
18000773,16
18000806,9
18000811,33
18000807,24
18000835,23
18000848,25
18000851,34
18000854,12
18000857,8
18000903,27
18000909,10
18000911,0
18000912,15
18000947,10
18000944,28
18000951,11
18000978,8
18000989,15
18000988,13
18000991,34
18000993,32
18001000,19
18001043,34
18001040,36
18001055,32
18001070,35
18001073,10
18001087,2
18001097,32
18001099,27
18001098,18
18001206,18
18001103,5
18001107,5
18001108,10
18001110,24
18001111,10
18001121,10
18001125,38
18001123,5
18001124,1
18001129,10
18001151,31
18001154,13
18001167,25
18001176,24
18001183,31
18001197,16
18001246,18
18001251,9
18001266,34
18001271,0
18001276,37
18001296,11
18001312,13
18001334,34
18001337,9
18001346,0
18001359,14
18001353,23
18001377,31
18001380,35
18001391,6
18001402,38
18001414,33
18001412,18
18001417,34
18001420,31
18001425,10
18001427,10
18001437,34
18001440,11
18001442,3
18001452,19
18001472,15
18001473,6
18001490,18
18001502,24
18001512,37
18001516,37
18001524,24
18001521,17
18001520,10
18001522,6
18001526,3
18001531,24
18001538,10
18001546,18
18001553,24
18001555,16
18001558,37
18001562,35
18001570,4
18001569,6
18001603,2
18001607,17
18001610,14
18001613,31
18001612,38
18001618,5
18001620,34
18001623,10
18001626,31
18001660,12
18005110,22
18005151,18
18005166,37
18005167,29
18005172,10
18005191,0
18005111,33
18005224,14
18005244,16
18005259,18
18005269,35
18005268,10
18005271,10
18005357,29
18005281,4
18005285,33
18005288,3
18005291,10
18005294,10
18005300,32
18005305,5
18005311,4
18005308,13
18005316,10
18005333,12
18005361,29
18005359,19
18005373,2
18005389,32
18005384,36
18005394,29
18005390,25
18005400,25
18005406,33
18005417,32
18005421,38
18005424,18
18005439,30
18005448,0
18005450,36
18005465,19
18005469,3
18005489,6
18005504,33
18005516,0
18005524,4
18005542,10
18005537,30
18005541,34
18005552,32
18005563,35
18005561,35
18005570,18
18005575,34
18005589,5
18005603,36
18005611,3
18005613,33
18005637,17
18005639,19
18005649,5
18005651,10
18005655,10
18005658,16
18005670,29
18005665,18
18005674,37
18005677,24
18005692,32
18005708,31
18005707,10
18005717,29
18005713,14
18005714,6
18005737,27
18005743,33
18005748,18
18005752,23
18005761,18
18005782,30
18005783,10
18005784,6
18005814,3
18005793,37
18005804,9
18005818,4
18005822,8
18005839,15
18005838,23
18005854,1
18005856,16
18005860,18
18005867,1
18005886,10
18005888,22
18005891,38
18005895,5
18005896,32
18005899,5
18005905,16
18005908,38
18005949,17
18005953,35
18005988,31
18005990,19
18005997,10
18006000,33
18006012,6
18006042,3
18006055,15
18006051,8
18006084,4
18006093,23
18006094,35
18006116,13
18006120,30
18006125,8
18006127,6
18006130,36
18006160,38
18006168,36
18006183,5
18006187,29
18006201,16
18006206,35
18006193,29
18006211,28
18006220,24
18006227,6
18006236,29
18006242,12
18006244,37
18006250,10
18006256,36
18006258,14
18006262,35
18006260,30
18006281,14
18006286,37
18006335,29
18006337,33
18006300,28
18006301,0
18006303,6
18006306,34
18006309,3
18006322,10
18006349,30
18006361,25
