id,law_beat,contiguous,district
0,224,yes,D2
1,123,yes,D1
2,121,yes,D1
3,512,yes,D5
4,211,yes,D2
5,222,yes,D2
6,313,yes,D3
7,321,yes,D3
8,212,yes,D2
9,213,yes,D2
10,223,yes,D2
11,312,yes,D3
12,421,yes,D4
13,311,yes,D3
14,324,yes,D3
15,125,yes,D1
16,214,yes,D2
17,221,yes,D2
18,423,yes,D4
19,321,yes,D3
20,223,yes,D2
21,423,yes,D4
22,322,yes,D3
23,124,yes,D1
24,415,yes,D4
25,412,yes,D4
26,321,yes,D3
27,111,yes,D1
28,112,yes,D1
29,113,yes,D1
30,522,yes,D5
31,114,yes,D1
32,422,yes,D4
33,314,yes,D3
34,323,yes,D3
35,411,yes,D4
36,413,yes,D4
37,122,yes,D1
38,414,yes,D4
