state,value
Alabama,7.9
Alaska,1.4
Arkansas,14.7
Arizona,13.4
California,14.1
Colorado,12.9
Connecticut,9.5
Delaware,13.7
District of Columbia,6.6
Florida,4.4
Georgia,11.6
Hawaii,17.4
Iowa,5.9
Idaho,16.4
Illinois,18.6
Indiana,3.9
Kansas,14.2
Kentucky,10.5
Louisiana,17.2
Maine,15.7
Maryland,4.9
Massachusetts,13.7
Michigan,19.7
Minnesota,12.8
Missouri,2.2
Mississippi,6.8
Montana,13.8
North Carolina,14.7
North Dakota,11.1
Nebraska,13.7
New Hampshire,9.7
New Jersey,2.2
New Mexico,3.1
Nevada,18.2
New York,12.8
Ohio,5
Oklahoma,12.4
Oregon,13.3
Pennsylvania,0.2
Rhode Island,13
South Carolina,1.8
South Dakota,5.1
Tennessee,6.6
Texas,8.1
Utah,11.3
Virginia,4.8
Vermont,18.4
Washington,13.4
Wisconsin,8.9
West Virginia,18.1
Wyoming,0
